[INFO][2017-04-15 09:33:34] Training Start!
[INFO][2017-04-15 09:38:53] batch_iter 1 | num_iter 64 | loss: 2.47326, ss: 0 | accuracy 0.33, ss: 0 | time_cost(s): 319.105
[INFO][2017-04-15 13:11:40] batch_iter 50 | num_iter 3200 | loss: 1.28869, ss: 18 | accuracy 0.62, ss: 18 | time_cost(s): 260.267
[INFO][2017-04-15 13:16:00] batch_iter 51 | num_iter 3264 | loss: 0.915305, ss: 19 | accuracy 0.73, ss: 19 | time_cost(s): 259.299
[INFO][2017-04-15 13:20:22] batch_iter 52 | num_iter 3328 | loss: 1.1412, ss: 20 | accuracy 0.7, ss: 20 | time_cost(s): 261.241
[INFO][2017-04-15 13:25:04] batch_iter 53 | num_iter 3392 | loss: 1.52449, ss: 21 | accuracy 0.51, ss: 21 | time_cost(s): 281.510
[INFO][2017-04-15 13:29:34] batch_iter 54 | num_iter 3456 | loss: 1.41398, ss: 22 | accuracy 0.5, ss: 22 | time_cost(s): 269.341
[INFO][2017-04-15 13:34:11] batch_iter 55 | num_iter 3520 | loss: 1.15005, ss: 23 | accuracy 0.68, ss: 23 | time_cost(s): 274.961
[INFO][2017-04-15 13:39:07] batch_iter 56 | num_iter 3584 | loss: 1.20169, ss: 24 | accuracy 0.63, ss: 24 | time_cost(s): 296.478
[INFO][2017-04-15 13:43:39] batch_iter 57 | num_iter 3648 | loss: 1.43846, ss: 25 | accuracy 0.61, ss: 25 | time_cost(s): 270.169
[INFO][2017-04-15 13:48:03] batch_iter 58 | num_iter 3712 | loss: 1.13356, ss: 26 | accuracy 0.65, ss: 26 | time_cost(s): 264.031
[INFO][2017-04-15 13:52:26] batch_iter 59 | num_iter 3776 | loss: 1.38238, ss: 27 | accuracy 0.57, ss: 27 | time_cost(s): 263.008
[INFO][2017-04-15 13:56:51] batch_iter 60 | num_iter 3840 | loss: 1.26528, ss: 28 | accuracy 0.6, ss: 28 | time_cost(s): 264.553
[INFO][2017-04-15 14:01:16] batch_iter 61 | num_iter 3904 | loss: 1.25225, ss: 29 | accuracy 0.65, ss: 29 | time_cost(s): 263.520
[INFO][2017-04-15 14:05:39] batch_iter 62 | num_iter 3968 | loss: 0.750104, ss: 0 | accuracy 0.79, ss: 0 | time_cost(s): 263.888
[INFO][2017-04-15 14:10:02] batch_iter 63 | num_iter 4032 | loss: 1.95638, ss: 1 | accuracy 0.39, ss: 1 | time_cost(s): 262.345
[INFO][2017-04-15 14:14:24] batch_iter 64 | num_iter 4096 | loss: 1.58235, ss: 2 | accuracy 0.49, ss: 2 | time_cost(s): 261.533
[INFO][2017-04-15 14:18:46] batch_iter 65 | num_iter 4160 | loss: 1.31608, ss: 3 | accuracy 0.64, ss: 3 | time_cost(s): 261.531
[INFO][2017-04-15 14:23:10] batch_iter 66 | num_iter 4224 | loss: 0.918289, ss: 4 | accuracy 0.67, ss: 4 | time_cost(s): 263.152
[INFO][2017-04-15 14:27:31] batch_iter 67 | num_iter 4288 | loss: 0.859249, ss: 5 | accuracy 0.74, ss: 5 | time_cost(s): 261.149
[INFO][2017-04-15 14:31:54] batch_iter 68 | num_iter 4352 | loss: 1.46419, ss: 6 | accuracy 0.62, ss: 6 | time_cost(s): 262.688
[INFO][2017-04-15 14:36:17] batch_iter 69 | num_iter 4416 | loss: 1.10133, ss: 7 | accuracy 0.64, ss: 7 | time_cost(s): 261.917
[INFO][2017-04-15 14:40:38] batch_iter 70 | num_iter 4480 | loss: 1.1614, ss: 8 | accuracy 0.62, ss: 8 | time_cost(s): 261.414
[INFO][2017-04-15 14:45:01] batch_iter 71 | num_iter 4544 | loss: 1.25817, ss: 9 | accuracy 0.58, ss: 9 | time_cost(s): 261.621
[INFO][2017-04-15 14:49:22] batch_iter 72 | num_iter 4608 | loss: 1.30673, ss: 10 | accuracy 0.56, ss: 10 | time_cost(s): 260.912
[INFO][2017-04-15 14:53:43] batch_iter 73 | num_iter 4672 | loss: 1.32587, ss: 11 | accuracy 0.58, ss: 11 | time_cost(s): 261.066
[INFO][2017-04-15 14:58:04] batch_iter 74 | num_iter 4736 | loss: 0.792497, ss: 12 | accuracy 0.8, ss: 0 | time_cost(s): 260.093
[INFO][2017-04-15 15:02:26] batch_iter 75 | num_iter 4800 | loss: 1.33714, ss: 13 | accuracy 0.54, ss: 1 | time_cost(s): 262.183
[INFO][2017-04-15 15:06:48] batch_iter 76 | num_iter 4864 | loss: 1.05499, ss: 14 | accuracy 0.68, ss: 2 | time_cost(s): 261.119
[INFO][2017-04-15 15:11:09] batch_iter 77 | num_iter 4928 | loss: 1.53073, ss: 15 | accuracy 0.55, ss: 3 | time_cost(s): 261.174
[INFO][2017-04-15 15:15:32] batch_iter 78 | num_iter 4992 | loss: 1.48294, ss: 16 | accuracy 0.56, ss: 4 | time_cost(s): 262.295
[INFO][2017-04-15 15:19:53] batch_iter 79 | num_iter 5056 | loss: 0.8508, ss: 17 | accuracy 0.69, ss: 5 | time_cost(s): 260.414
[INFO][2017-04-15 15:24:13] batch_iter 80 | num_iter 5120 | loss: 0.936123, ss: 18 | accuracy 0.73, ss: 6 | time_cost(s): 260.018
[INFO][2017-04-15 15:28:36] batch_iter 81 | num_iter 5184 | loss: 1.56818, ss: 19 | accuracy 0.49, ss: 7 | time_cost(s): 262.522
[INFO][2017-04-15 15:32:57] batch_iter 82 | num_iter 5248 | loss: 0.988242, ss: 20 | accuracy 0.71, ss: 8 | time_cost(s): 260.241
[INFO][2017-04-15 15:37:20] batch_iter 83 | num_iter 5312 | loss: 0.80414, ss: 21 | accuracy 0.71, ss: 9 | time_cost(s): 262.256
[INFO][2017-04-15 15:41:39] batch_iter 84 | num_iter 5376 | loss: 0.932588, ss: 22 | accuracy 0.76, ss: 10 | time_cost(s): 259.386
[INFO][2017-04-15 15:46:00] batch_iter 85 | num_iter 5440 | loss: 0.973202, ss: 23 | accuracy 0.73, ss: 11 | time_cost(s): 260.105
[INFO][2017-04-15 15:50:19] batch_iter 86 | num_iter 5504 | loss: 0.970054, ss: 24 | accuracy 0.67, ss: 12 | time_cost(s): 258.866
[INFO][2017-04-15 15:54:39] batch_iter 87 | num_iter 5568 | loss: 1.1532, ss: 25 | accuracy 0.61, ss: 13 | time_cost(s): 259.635
[INFO][2017-04-15 15:58:59] batch_iter 88 | num_iter 5632 | loss: 0.860903, ss: 26 | accuracy 0.76, ss: 14 | time_cost(s): 259.059
[INFO][2017-04-15 16:03:18] batch_iter 89 | num_iter 5696 | loss: 1.23316, ss: 27 | accuracy 0.61, ss: 15 | time_cost(s): 259.704
[INFO][2017-04-15 16:07:41] batch_iter 90 | num_iter 5760 | loss: 0.995126, ss: 28 | accuracy 0.61, ss: 16 | time_cost(s): 261.691
[INFO][2017-04-15 16:12:03] batch_iter 91 | num_iter 5824 | loss: 1.45793, ss: 29 | accuracy 0.51, ss: 17 | time_cost(s): 261.677
[INFO][2017-04-15 16:16:25] batch_iter 92 | num_iter 5888 | loss: 0.77382, ss: 30 | accuracy 0.76, ss: 18 | time_cost(s): 262.209
[INFO][2017-04-15 16:20:47] batch_iter 93 | num_iter 5952 | loss: 0.93795, ss: 31 | accuracy 0.73, ss: 19 | time_cost(s): 260.980
[INFO][2017-04-15 16:25:08] batch_iter 94 | num_iter 6016 | loss: 0.635466, ss: 0 | accuracy 0.78, ss: 20 | time_cost(s): 260.279
[INFO][2017-04-15 16:29:29] batch_iter 95 | num_iter 6080 | loss: 1.29064, ss: 1 | accuracy 0.58, ss: 21 | time_cost(s): 261.900
[INFO][2017-04-15 16:33:53] batch_iter 96 | num_iter 6144 | loss: 1.12332, ss: 2 | accuracy 0.56, ss: 22 | time_cost(s): 262.512
[INFO][2017-04-15 16:38:15] batch_iter 97 | num_iter 6208 | loss: 0.989789, ss: 3 | accuracy 0.7, ss: 23 | time_cost(s): 262.197
[INFO][2017-04-15 16:42:36] batch_iter 98 | num_iter 6272 | loss: 0.899355, ss: 4 | accuracy 0.7, ss: 24 | time_cost(s): 261.086
[INFO][2017-04-15 16:46:59] batch_iter 99 | num_iter 6336 | loss: 1.56719, ss: 5 | accuracy 0.56, ss: 25 | time_cost(s): 262.291
[INFO][2017-04-15 16:51:21] batch_iter 100 | num_iter 6400 | loss: 0.932251, ss: 6 | accuracy 0.74, ss: 26 | time_cost(s): 261.993
[INFO][2017-04-15 16:55:45] batch_iter 101 | num_iter 6464 | loss: 0.986485, ss: 7 | accuracy 0.69, ss: 27 | time_cost(s): 262.589
[INFO][2017-04-15 17:00:08] batch_iter 102 | num_iter 6528 | loss: 0.837363, ss: 8 | accuracy 0.67, ss: 28 | time_cost(s): 262.900
[INFO][2017-04-15 17:04:29] batch_iter 103 | num_iter 6592 | loss: 0.886512, ss: 9 | accuracy 0.74, ss: 29 | time_cost(s): 261.349
[INFO][2017-04-15 17:08:51] batch_iter 104 | num_iter 6656 | loss: 1.22661, ss: 10 | accuracy 0.7, ss: 30 | time_cost(s): 261.515
[INFO][2017-04-15 17:13:14] batch_iter 105 | num_iter 6720 | loss: 0.646368, ss: 11 | accuracy 0.81, ss: 0 | time_cost(s): 261.636
[INFO][2017-04-15 17:17:33] batch_iter 106 | num_iter 6784 | loss: 0.700218, ss: 12 | accuracy 0.78, ss: 1 | time_cost(s): 259.655
[INFO][2017-04-15 17:21:53] batch_iter 107 | num_iter 6848 | loss: 0.696035, ss: 13 | accuracy 0.8, ss: 2 | time_cost(s): 259.463
[INFO][2017-04-15 17:26:13] batch_iter 108 | num_iter 6912 | loss: 0.95572, ss: 14 | accuracy 0.74, ss: 3 | time_cost(s): 259.375
[INFO][2017-04-15 17:30:33] batch_iter 109 | num_iter 6976 | loss: 0.938458, ss: 15 | accuracy 0.75, ss: 4 | time_cost(s): 259.640
[INFO][2017-04-15 17:34:56] batch_iter 110 | num_iter 7040 | loss: 0.956263, ss: 16 | accuracy 0.75, ss: 5 | time_cost(s): 262.598
[INFO][2017-04-15 17:39:17] batch_iter 111 | num_iter 7104 | loss: 1.46519, ss: 17 | accuracy 0.55, ss: 6 | time_cost(s): 260.266
[INFO][2017-04-15 17:43:38] batch_iter 112 | num_iter 7168 | loss: 0.953197, ss: 18 | accuracy 0.76, ss: 7 | time_cost(s): 260.568
[INFO][2017-04-15 17:47:59] batch_iter 113 | num_iter 7232 | loss: 1.14763, ss: 19 | accuracy 0.64, ss: 8 | time_cost(s): 260.348
[INFO][2017-04-15 17:52:21] batch_iter 114 | num_iter 7296 | loss: 0.90399, ss: 20 | accuracy 0.77, ss: 9 | time_cost(s): 261.981
[INFO][2017-04-15 17:56:41] batch_iter 115 | num_iter 7360 | loss: 0.576764, ss: 0 | accuracy 0.79, ss: 10 | time_cost(s): 259.917
[INFO][2017-04-15 18:01:02] batch_iter 116 | num_iter 7424 | loss: 0.738839, ss: 1 | accuracy 0.84, ss: 0 | time_cost(s): 260.155
[INFO][2017-04-15 18:05:22] batch_iter 117 | num_iter 7488 | loss: 0.681486, ss: 2 | accuracy 0.8, ss: 1 | time_cost(s): 259.832
[INFO][2017-04-15 18:09:43] batch_iter 118 | num_iter 7552 | loss: 0.544321, ss: 0 | accuracy 0.89, ss: 0 | time_cost(s): 260.752
[INFO][2017-04-15 18:14:05] batch_iter 119 | num_iter 7616 | loss: 1.20744, ss: 1 | accuracy 0.77, ss: 1 | time_cost(s): 261.012
[INFO][2017-04-15 18:18:27] batch_iter 120 | num_iter 7680 | loss: 0.674154, ss: 2 | accuracy 0.74, ss: 2 | time_cost(s): 262.186
[INFO][2017-04-15 18:22:49] batch_iter 121 | num_iter 7744 | loss: 1.28929, ss: 3 | accuracy 0.7, ss: 3 | time_cost(s): 261.134
[INFO][2017-04-15 18:27:12] batch_iter 122 | num_iter 7808 | loss: 1.60115, ss: 4 | accuracy 0.62, ss: 4 | time_cost(s): 262.559
[INFO][2017-04-15 18:31:33] batch_iter 123 | num_iter 7872 | loss: 0.811828, ss: 5 | accuracy 0.78, ss: 5 | time_cost(s): 261.146
[INFO][2017-04-15 18:35:55] batch_iter 124 | num_iter 7936 | loss: 1.03087, ss: 6 | accuracy 0.57, ss: 6 | time_cost(s): 261.180
[INFO][2017-04-15 18:40:15] batch_iter 125 | num_iter 8000 | loss: 1.31637, ss: 7 | accuracy 0.61, ss: 7 | time_cost(s): 260.207
[INFO][2017-04-15 18:44:35] batch_iter 126 | num_iter 8064 | loss: 0.614413, ss: 8 | accuracy 0.82, ss: 8 | time_cost(s): 259.817
[INFO][2017-04-15 18:48:57] batch_iter 127 | num_iter 8128 | loss: 0.959207, ss: 9 | accuracy 0.69, ss: 9 | time_cost(s): 261.342
[INFO][2017-04-15 18:53:19] batch_iter 128 | num_iter 8192 | loss: 0.406007, ss: 0 | accuracy 0.91, ss: 0 | time_cost(s): 261.157
[INFO][2017-04-15 18:57:42] batch_iter 129 | num_iter 8256 | loss: 0.356959, ss: 0 | accuracy 0.9, ss: 1 | time_cost(s): 262.404
[INFO][2017-04-15 19:02:04] batch_iter 130 | num_iter 8320 | loss: 1.09649, ss: 1 | accuracy 0.7, ss: 2 | time_cost(s): 261.574
[INFO][2017-04-15 19:06:25] batch_iter 131 | num_iter 8384 | loss: 0.535606, ss: 2 | accuracy 0.82, ss: 3 | time_cost(s): 260.861
[INFO][2017-04-15 19:10:46] batch_iter 132 | num_iter 8448 | loss: 0.805754, ss: 3 | accuracy 0.75, ss: 4 | time_cost(s): 261.197
[INFO][2017-04-15 19:15:09] batch_iter 133 | num_iter 8512 | loss: 0.774398, ss: 4 | accuracy 0.71, ss: 5 | time_cost(s): 261.761
[INFO][2017-04-15 19:19:28] batch_iter 134 | num_iter 8576 | loss: 1.19344, ss: 5 | accuracy 0.6, ss: 6 | time_cost(s): 259.310
[INFO][2017-04-15 19:23:48] batch_iter 135 | num_iter 8640 | loss: 0.486487, ss: 6 | accuracy 0.86, ss: 7 | time_cost(s): 259.333
[INFO][2017-04-15 19:28:09] batch_iter 136 | num_iter 8704 | loss: 0.598171, ss: 7 | accuracy 0.84, ss: 8 | time_cost(s): 260.475
[INFO][2017-04-15 19:32:31] batch_iter 137 | num_iter 8768 | loss: 0.939085, ss: 8 | accuracy 0.66, ss: 9 | time_cost(s): 261.689
[INFO][2017-04-15 19:36:51] batch_iter 138 | num_iter 8832 | loss: 0.765113, ss: 9 | accuracy 0.76, ss: 10 | time_cost(s): 259.897
[INFO][2017-04-15 19:41:11] batch_iter 139 | num_iter 8896 | loss: 0.661313, ss: 10 | accuracy 0.78, ss: 11 | time_cost(s): 260.252
[INFO][2017-04-15 19:45:33] batch_iter 140 | num_iter 8960 | loss: 1.1978, ss: 11 | accuracy 0.67, ss: 12 | time_cost(s): 261.103
[INFO][2017-04-15 19:49:55] batch_iter 141 | num_iter 9024 | loss: 0.788048, ss: 12 | accuracy 0.75, ss: 13 | time_cost(s): 260.861
[INFO][2017-04-15 19:54:15] batch_iter 142 | num_iter 9088 | loss: 0.966931, ss: 13 | accuracy 0.73, ss: 14 | time_cost(s): 260.242
[INFO][2017-04-15 19:58:34] batch_iter 143 | num_iter 9152 | loss: 0.691581, ss: 14 | accuracy 0.83, ss: 15 | time_cost(s): 258.960
[INFO][2017-04-15 20:02:54] batch_iter 144 | num_iter 9216 | loss: 0.640085, ss: 15 | accuracy 0.79, ss: 16 | time_cost(s): 259.239
[INFO][2017-04-15 20:07:13] batch_iter 145 | num_iter 9280 | loss: 0.494335, ss: 16 | accuracy 0.84, ss: 17 | time_cost(s): 259.064
[INFO][2017-04-15 20:11:33] batch_iter 146 | num_iter 9344 | loss: 0.817215, ss: 17 | accuracy 0.73, ss: 18 | time_cost(s): 258.595
[INFO][2017-04-15 20:15:52] batch_iter 147 | num_iter 9408 | loss: 1.00088, ss: 18 | accuracy 0.66, ss: 19 | time_cost(s): 259.218
[INFO][2017-04-15 20:20:14] batch_iter 148 | num_iter 9472 | loss: 0.618771, ss: 19 | accuracy 0.81, ss: 20 | time_cost(s): 262.051
[INFO][2017-04-15 20:24:37] batch_iter 149 | num_iter 9536 | loss: 0.503429, ss: 20 | accuracy 0.86, ss: 21 | time_cost(s): 261.924
[INFO][2017-04-15 20:28:58] batch_iter 150 | num_iter 9600 | loss: 0.656829, ss: 21 | accuracy 0.77, ss: 22 | time_cost(s): 260.578
[INFO][2017-04-15 20:33:20] batch_iter 151 | num_iter 9664 | loss: 0.677399, ss: 22 | accuracy 0.77, ss: 23 | time_cost(s): 261.735
[INFO][2017-04-15 20:37:43] batch_iter 152 | num_iter 9728 | loss: 0.773149, ss: 23 | accuracy 0.75, ss: 24 | time_cost(s): 262.593
[INFO][2017-04-15 20:42:05] batch_iter 153 | num_iter 9792 | loss: 0.779045, ss: 24 | accuracy 0.74, ss: 25 | time_cost(s): 261.725
[INFO][2017-04-15 20:46:28] batch_iter 154 | num_iter 9856 | loss: 0.719818, ss: 25 | accuracy 0.79, ss: 26 | time_cost(s): 262.598
[INFO][2017-04-15 20:50:49] batch_iter 155 | num_iter 9920 | loss: 0.399177, ss: 26 | accuracy 0.87, ss: 27 | time_cost(s): 260.721
[INFO][2017-04-15 20:55:09] batch_iter 156 | num_iter 9984 | loss: 0.724736, ss: 27 | accuracy 0.77, ss: 28 | time_cost(s): 259.810
[INFO][2017-04-15 20:59:29] batch_iter 157 | num_iter 10048 | loss: 0.571463, ss: 28 | accuracy 0.84, ss: 29 | time_cost(s): 258.970
[INFO][2017-04-15 21:03:49] batch_iter 158 | num_iter 10112 | loss: 0.646271, ss: 29 | accuracy 0.79, ss: 30 | time_cost(s): 259.622
[INFO][2017-04-15 21:08:09] batch_iter 159 | num_iter 10176 | loss: 0.718927, ss: 30 | accuracy 0.77, ss: 31 | time_cost(s): 260.504
[INFO][2017-04-15 21:12:31] batch_iter 160 | num_iter 10240 | loss: 0.551674, ss: 31 | accuracy 0.85, ss: 32 | time_cost(s): 260.591
[INFO][2017-04-15 21:16:52] batch_iter 161 | num_iter 10304 | loss: 0.395864, ss: 32 | accuracy 0.87, ss: 33 | time_cost(s): 260.604
[INFO][2017-04-15 21:21:13] batch_iter 162 | num_iter 10368 | loss: 0.948973, ss: 33 | accuracy 0.76, ss: 34 | time_cost(s): 261.408
[INFO][2017-04-15 21:25:35] batch_iter 163 | num_iter 10432 | loss: 0.354278, ss: 0 | accuracy 0.89, ss: 35 | time_cost(s): 261.198
[INFO][2017-04-15 21:29:57] batch_iter 164 | num_iter 10496 | loss: 0.764209, ss: 1 | accuracy 0.76, ss: 36 | time_cost(s): 261.996
[INFO][2017-04-15 21:34:20] batch_iter 165 | num_iter 10560 | loss: 0.552575, ss: 2 | accuracy 0.87, ss: 37 | time_cost(s): 261.786
[INFO][2017-04-15 21:38:41] batch_iter 166 | num_iter 10624 | loss: 0.644531, ss: 3 | accuracy 0.76, ss: 38 | time_cost(s): 261.076
[INFO][2017-04-15 21:43:01] batch_iter 167 | num_iter 10688 | loss: 0.477739, ss: 4 | accuracy 0.87, ss: 39 | time_cost(s): 260.225
[INFO][2017-04-15 21:47:24] batch_iter 168 | num_iter 10752 | loss: 0.651189, ss: 5 | accuracy 0.79, ss: 40 | time_cost(s): 261.503
[INFO][2017-04-15 21:51:46] batch_iter 169 | num_iter 10816 | loss: 1.08091, ss: 6 | accuracy 0.73, ss: 41 | time_cost(s): 262.153
[INFO][2017-04-15 21:56:07] batch_iter 170 | num_iter 10880 | loss: 0.7462, ss: 7 | accuracy 0.8, ss: 42 | time_cost(s): 260.913
[INFO][2017-04-15 22:00:28] batch_iter 171 | num_iter 10944 | loss: 0.833086, ss: 8 | accuracy 0.76, ss: 43 | time_cost(s): 260.622
[INFO][2017-04-15 22:04:50] batch_iter 172 | num_iter 11008 | loss: 0.364538, ss: 9 | accuracy 0.89, ss: 44 | time_cost(s): 261.180
[INFO][2017-04-15 22:09:11] batch_iter 173 | num_iter 11072 | loss: 0.72501, ss: 10 | accuracy 0.75, ss: 45 | time_cost(s): 260.507
